zevenfreqs:, k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2
zevenfreqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.334506, 0.425017
zevenfreqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.323406, 0.409018
zevenfreqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.311545, 0.393968
zevenfreqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.299663, 0.378422
zevenfreqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.288312, 0.362209
zevenfreqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.275681, 0.347009
zevenfreqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.263843, 0.329955
zevenfreqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.250795, 0.313839
zevenfreqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.238063, 0.297908
zevenfreqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.225384, 0.282072
zevenfreqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.212759, 0.265248
zevenfreqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.199367, 0.249267
zevenfreqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.186066, 0.2328
zevenfreqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.17265, 0.216722
zevenfreqs:, 84, 0.16129, 0.16129, 0, 0.186242, 0.158888, 0.200504
zevenfreqs:, 85, 0.145161, 0.145161, 0, 0.167618, 0.144809, 0.184807
zevenfreqs:, 86, 0.129032, 0.129032, 0, 0.148994, 0.130337, 0.169283
zevenfreqs:, 87, 0.112903, 0.112903, 0, 0.130369, 0.11545, 0.154352
zevenfreqs:, 88, 0.0967742, 0.0967742, 0, 0.111745, 0.100065, 0.139981
zevenfreqs:, 89, 0.0806452, 0.0806452, 0, 0.093121, 0.0842247, 0.126598
zevenfreqs:, 90, 0.0645161, 0.0645161, 0, 0.0744968, 0.0679552, 0.114426
zevenfreqs:, 91, 0.0483871, 0.0483871, 0, 0.0558726, 0.0512599, 0.103978
zevenfreqs:, 92, 0.0322581, 0.0322581, 0, 0.0372484, 0.0343144, 0.0958089
zevenfreqs:, 93, 0.016129, 0.016129, 0, 0.0186242, 0.0172006, 0.0905524
zevenfreqs:, 94, 0, 0, 0, 0, 0, 0.088732
