freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5
freqs:, 54, 0.548387, 0.451613, 0, 0.585405, 0.382523, 0.415021, 0.417774, 0.42301, 0.46229
freqs:, 55, 0.543011, 0.456989, 0, 0.583723, 0.38143, 0.414045, 0.416914, 0.421864, 0.461227
freqs:, 56, 0.537634, 0.462366, 0, 0.582236, 0.380461, 0.41318, 0.416158, 0.420843, 0.460284
freqs:, 57, 0.532258, 0.467742, 0, 0.580944, 0.379618, 0.412428, 0.415506, 0.419951, 0.459464
freqs:, 58, 0.526882, 0.473118, 0, 0.579848, 0.378902, 0.41179, 0.414957, 0.41919, 0.458767
freqs:, 59, 0.521505, 0.478495, 0, 0.57895, 0.378314, 0.411267, 0.414511, 0.418562, 0.458196
freqs:, 60, 0.516129, 0.483871, 0, 0.578251, 0.377856, 0.410859, 0.414165, 0.418071, 0.457751
freqs:, 61, 0.510753, 0.489247, 0, 0.577751, 0.377528, 0.410568, 0.41392, 0.417718, 0.457432
freqs:, 62, 0.505376, 0.494624, 0, 0.57745, 0.377332, 0.410393, 0.413773, 0.417506, 0.457241
freqs:, 63, 0.5, 0.5, 0, 0.57735, 0.377266, 0.410334, 0.413724, 0.417435, 0.457177
freqs:, 64, 0.483871, 0.483871, 0, 0.558726, 0.374332, 0.401973, 0.415843, 0.425734, 0.4535
freqs:, 65, 0.467742, 0.467742, 0, 0.540102, 0.367185, 0.390827, 0.419586, 0.436646, 0.447798
freqs:, 66, 0.451613, 0.451613, 0, 0.521478, 0.35802, 0.379474, 0.419369, 0.446667, 0.447084
freqs:, 67, 0.435484, 0.435484, 0, 0.502853, 0.347902, 0.368047, 0.413104, 0.44564, 0.451866
freqs:, 68, 0.419355, 0.419355, 0, 0.484229, 0.337276, 0.356578, 0.403966, 0.434672, 0.459883
freqs:, 69, 0.403226, 0.403226, 0, 0.465605, 0.326345, 0.345077, 0.393783, 0.423037, 0.467459
freqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.315209, 0.333549, 0.383131, 0.411029, 0.450076
freqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.303925, 0.321996, 0.372206, 0.398644, 0.431754
freqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.292526, 0.310417, 0.36108, 0.385841, 0.413411
freqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.281033, 0.298808, 0.349774, 0.372574, 0.395068
freqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.269459, 0.287165, 0.338278, 0.358801, 0.376737
freqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.257811, 0.275479, 0.326561, 0.344502, 0.358428
freqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.246094, 0.263739, 0.314575, 0.329685, 0.34015
freqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.234309, 0.251931, 0.302254, 0.314394, 0.321915
freqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.222453, 0.240032, 0.289518, 0.298696, 0.303735
freqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.210523, 0.228017, 0.27629, 0.282677, 0.285634
freqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.198511, 0.215849, 0.262501, 0.266406, 0.267658
freqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.186405, 0.203479, 0.247955, 0.249429, 0.250046
freqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.174187, 0.190842, 0.231446, 0.231997, 0.234124
freqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.161832, 0.177852, 0.214021, 0.214881, 0.219033
freqs:, 84, 0.16129, 0.16129, 0, 0.186242, 0.149301, 0.1644, 0.196752, 0.198244, 0.203938
freqs:, 85, 0.145161, 0.145161, 0, 0.167618, 0.136536, 0.150362, 0.17984, 0.182261, 0.188918
freqs:, 86, 0.129032, 0.129032, 0, 0.148994, 0.123454, 0.135635, 0.163465, 0.167104, 0.174133
freqs:, 87, 0.112903, 0.112903, 0, 0.130369, 0.109943, 0.120181, 0.147852, 0.152821, 0.159769
freqs:, 88, 0.0967742, 0.0967742, 0, 0.111745, 0.0958803, 0.104055, 0.133287, 0.138804, 0.146048
freqs:, 89, 0.0806452, 0.0806452, 0, 0.093121, 0.0811712, 0.0873804, 0.120084, 0.125121, 0.133246
freqs:, 90, 0.0645161, 0.0645161, 0, 0.0744968, 0.0658026, 0.0702987, 0.108556, 0.112575, 0.121712
freqs:, 91, 0.0483871, 0.0483871, 0, 0.0558726, 0.049856, 0.0529332, 0.0990165, 0.101716, 0.111884
freqs:, 92, 0.0322581, 0.0322581, 0, 0.0372484, 0.0334717, 0.035381, 0.091802, 0.0931717, 0.104277
freqs:, 93, 0.016129, 0.016129, 0, 0.0186242, 0.0168043, 0.0177168, 0.0872707, 0.0876406, 0.0994261
freqs:, 94, 0, 0, 0, 0, 0, 0, 0.0857167, 0.0857207, 0.0977541
