zevenfreqs:, k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2
zevenfreqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.356059, 0.450265
zevenfreqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.344919, 0.431842
zevenfreqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.333407, 0.413436
zevenfreqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.321574, 0.395055
zevenfreqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.309447, 0.376707
zevenfreqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.297046, 0.3584
zevenfreqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.284377, 0.340144
zevenfreqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.271441, 0.321955
zevenfreqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.258232, 0.303851
zevenfreqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.244737, 0.285858
zevenfreqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.23094, 0.268013
zevenfreqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.216816, 0.250363
zevenfreqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.202331, 0.232977
zevenfreqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.187445, 0.215939
zevenfreqs:, 84, 0.16129, 0.16129, 0, 0.186242, 0.17212, 0.199352
zevenfreqs:, 85, 0.145161, 0.145161, 0, 0.167618, 0.156325, 0.183329
zevenfreqs:, 86, 0.129032, 0.129032, 0, 0.148994, 0.140061, 0.16798
zevenfreqs:, 87, 0.112903, 0.112903, 0, 0.130369, 0.123365, 0.153415
zevenfreqs:, 88, 0.0967742, 0.0967742, 0, 0.111745, 0.106302, 0.139764
zevenfreqs:, 89, 0.0806452, 0.0806452, 0, 0.093121, 0.0889491, 0.127206
zevenfreqs:, 90, 0.0645161, 0.0645161, 0, 0.0744968, 0.0713792, 0.116004
zevenfreqs:, 91, 0.0483871, 0.0483871, 0, 0.0558726, 0.0536539, 0.106521
zevenfreqs:, 92, 0.0322581, 0.0322581, 0, 0.0372484, 0.035823, 0.0992125
zevenfreqs:, 93, 0.016129, 0.016129, 0, 0.0186242, 0.017927, 0.0945628
zevenfreqs:, 94, 0, 0, 0, 0, 0, 0.0929621
