zoddfreqs:, k index, k1, k2, k3, kmag/2pi, zodd band 1, zodd band 2
zoddfreqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.36576, 0.429927
zoddfreqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.353005, 0.413093
zoddfreqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.339523, 0.397568
zoddfreqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.326272, 0.381857
zoddfreqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.313028, 0.366005
zoddfreqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.299406, 0.350198
zoddfreqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.285484, 0.334156
zoddfreqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.271694, 0.318001
zoddfreqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.257732, 0.30188
zoddfreqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.243569, 0.285437
zoddfreqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.229445, 0.269328
zoddfreqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.215055, 0.253568
zoddfreqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.200069, 0.237887
zoddfreqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.185133, 0.221034
zoddfreqs:, 84, 0.16129, 0.16129, 0, 0.186242, 0.169799, 0.20514
zoddfreqs:, 85, 0.145161, 0.145161, 0, 0.167618, 0.154161, 0.18961
zoddfreqs:, 86, 0.129032, 0.129032, 0, 0.148994, 0.138239, 0.174745
zoddfreqs:, 87, 0.112903, 0.112903, 0, 0.130369, 0.12169, 0.160129
zoddfreqs:, 88, 0.0967742, 0.0967742, 0, 0.111745, 0.104963, 0.146106
zoddfreqs:, 89, 0.0806452, 0.0806452, 0, 0.093121, 0.0878179, 0.133339
zoddfreqs:, 90, 0.0645161, 0.0645161, 0, 0.0744968, 0.070549, 0.121655
zoddfreqs:, 91, 0.0483871, 0.0483871, 0, 0.0558726, 0.053037, 0.111655
zoddfreqs:, 92, 0.0322581, 0.0322581, 0, 0.0372484, 0.0354266, 0.104058
zoddfreqs:, 93, 0.016129, 0.016129, 0, 0.0186242, 0.0177578, 0.0992209
zoddfreqs:, 94, 0, 0, 0, 0, 0, 0.0975537
