freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6
freqs:, 49, 0.575269, 0.424731, 0, 0.596653, 0.420374, 0.497703, 0.508023, 0.52368, 0.594131, 0.599139
freqs:, 50, 0.569892, 0.430108, 0, 0.594031, 0.418632, 0.496574, 0.506487, 0.521971, 0.594651, 0.596535
freqs:, 51, 0.564516, 0.435484, 0, 0.591593, 0.416996, 0.495523, 0.505053, 0.520369, 0.593815, 0.594114
freqs:, 52, 0.55914, 0.44086, 0, 0.589341, 0.415472, 0.494553, 0.503724, 0.51888, 0.591683, 0.591878
freqs:, 53, 0.553763, 0.446237, 0, 0.587278, 0.414064, 0.493664, 0.502503, 0.517508, 0.589639, 0.589829
freqs:, 54, 0.548387, 0.451613, 0, 0.585405, 0.412778, 0.492856, 0.501391, 0.516256, 0.587778, 0.587969
freqs:, 55, 0.543011, 0.456989, 0, 0.583723, 0.411617, 0.492131, 0.50039, 0.515128, 0.586106, 0.586299
freqs:, 56, 0.537634, 0.462366, 0, 0.582236, 0.410585, 0.491489, 0.499503, 0.514126, 0.584626, 0.584822
freqs:, 57, 0.532258, 0.467742, 0, 0.580944, 0.409685, 0.490932, 0.498731, 0.513253, 0.583341, 0.583539
freqs:, 58, 0.526882, 0.473118, 0, 0.579848, 0.408919, 0.490459, 0.498075, 0.512511, 0.582251, 0.582451
freqs:, 59, 0.521505, 0.478495, 0, 0.57895, 0.408289, 0.490072, 0.497536, 0.511902, 0.581357, 0.581559
freqs:, 60, 0.516129, 0.483871, 0, 0.578251, 0.407797, 0.48977, 0.497117, 0.511426, 0.580661, 0.580865
freqs:, 61, 0.510753, 0.489247, 0, 0.577751, 0.407445, 0.489554, 0.496816, 0.511086, 0.580164, 0.580368
freqs:, 62, 0.505376, 0.494624, 0, 0.57745, 0.407234, 0.489425, 0.496636, 0.510881, 0.579865, 0.58007
freqs:, 63, 0.5, 0.5, 0, 0.57735, 0.407163, 0.489381, 0.496575, 0.510813, 0.579765, 0.579971
freqs:, 64, 0.483871, 0.483871, 0, 0.558726, 0.405579, 0.4895, 0.490787, 0.517592, 0.56133, 0.561487
freqs:, 65, 0.467742, 0.467742, 0, 0.540102, 0.401122, 0.477856, 0.494678, 0.52834, 0.54284, 0.543017
freqs:, 66, 0.451613, 0.451613, 0, 0.521478, 0.394445, 0.465326, 0.500233, 0.524421, 0.52454, 0.539361
freqs:, 67, 0.435484, 0.435484, 0, 0.502853, 0.386198, 0.452323, 0.504066, 0.506108, 0.50825, 0.510374
freqs:, 68, 0.419355, 0.419355, 0, 0.484229, 0.37686, 0.438938, 0.487086, 0.487695, 0.492161, 0.506677
freqs:, 69, 0.403226, 0.403226, 0, 0.465605, 0.366747, 0.425202, 0.468694, 0.46931, 0.473962, 0.475816
freqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.356058, 0.411128, 0.450265, 0.45096, 0.455782, 0.457657
freqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.344918, 0.396725, 0.431842, 0.432653, 0.437627, 0.43953
freqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.333407, 0.381997, 0.413436, 0.4144, 0.419501, 0.42144
freqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.321573, 0.366948, 0.395055, 0.396211, 0.401411, 0.403395
freqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.309447, 0.351584, 0.376707, 0.378104, 0.383363, 0.385401
freqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.297046, 0.335907, 0.3584, 0.360096, 0.365364, 0.367465
freqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.284377, 0.319924, 0.340144, 0.34221, 0.347424, 0.349598
freqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.271441, 0.303637, 0.321955, 0.324472, 0.329553, 0.331811
freqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.258231, 0.287055, 0.303851, 0.306907, 0.311764, 0.314118
freqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.244737, 0.27019, 0.285858, 0.289541, 0.294071, 0.296535
freqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.23094, 0.25306, 0.268013, 0.272397, 0.276495, 0.279085
freqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.216815, 0.235691, 0.250363, 0.255495, 0.25906, 0.261794
freqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.20233, 0.218114, 0.232977, 0.238857, 0.241795, 0.244697
freqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.187445, 0.200362, 0.215939, 0.222512, 0.224743, 0.227835
freqs:, 84, 0.16129, 0.16129, 0, 0.186242, 0.172119, 0.182466, 0.199352, 0.206499, 0.207954, 0.211268
freqs:, 85, 0.145161, 0.145161, 0, 0.167618, 0.156325, 0.164456, 0.183329, 0.190881, 0.191499, 0.195069
freqs:, 86, 0.129032, 0.129032, 0, 0.148994, 0.140061, 0.146355, 0.16798, 0.175472, 0.175746, 0.179339
freqs:, 87, 0.112903, 0.112903, 0, 0.130369, 0.123365, 0.128183, 0.153415, 0.160003, 0.161219, 0.164212
freqs:, 88, 0.0967742, 0.0967742, 0, 0.111745, 0.106302, 0.109955, 0.139764, 0.145269, 0.147474, 0.149873
freqs:, 89, 0.0806452, 0.0806452, 0, 0.093121, 0.088949, 0.091685, 0.127206, 0.131518, 0.134749, 0.136568
freqs:, 90, 0.0645161, 0.0645161, 0, 0.0744968, 0.0713792, 0.0733827, 0.116004, 0.119092, 0.123361, 0.12463
freqs:, 91, 0.0483871, 0.0483871, 0, 0.0558726, 0.0536538, 0.0550564, 0.106521, 0.108447, 0.113714, 0.114487
freqs:, 92, 0.0322581, 0.0322581, 0, 0.0372484, 0.035823, 0.0367132, 0.0992125, 0.100153, 0.106286, 0.106653
freqs:, 93, 0.016129, 0.016129, 0, 0.0186242, 0.017927, 0.0183592, 0.0945627, 0.0948285, 0.101568, 0.101664
freqs:, 94, 0, 0, 0, 0, 0, 0, 0.092962, 0.0929861, 0.0999451, 0.0999452
