zevenfreqs:, k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2
zevenfreqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.340537, 0.42564
zevenfreqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.328875, 0.410575
zevenfreqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.31744, 0.394535
zevenfreqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.304967, 0.379447
zevenfreqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.292641, 0.362671
zevenfreqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.279984, 0.347254
zevenfreqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.267508, 0.3317
zevenfreqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.254703, 0.314474
zevenfreqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.241614, 0.298482
zevenfreqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.228605, 0.28253
zevenfreqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.215708, 0.265649
zevenfreqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.201926, 0.249575
zevenfreqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.188514, 0.233161
zevenfreqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.174685, 0.217061
zevenfreqs:, 84, 0.16129, 0.16129, 0, 0.186242, 0.160576, 0.200857
zevenfreqs:, 85, 0.145161, 0.145161, 0, 0.167618, 0.146298, 0.185146
zevenfreqs:, 86, 0.129032, 0.129032, 0, 0.148994, 0.131433, 0.169626
zevenfreqs:, 87, 0.112903, 0.112903, 0, 0.130369, 0.116365, 0.154748
zevenfreqs:, 88, 0.0967742, 0.0967742, 0, 0.111745, 0.100725, 0.14038
zevenfreqs:, 89, 0.0806452, 0.0806452, 0, 0.093121, 0.0846794, 0.12701
zevenfreqs:, 90, 0.0645161, 0.0645161, 0, 0.0744968, 0.0682656, 0.114861
zevenfreqs:, 91, 0.0483871, 0.0483871, 0, 0.0558726, 0.0514389, 0.104436
zevenfreqs:, 92, 0.0322581, 0.0322581, 0, 0.0372484, 0.0344469, 0.0963008
zevenfreqs:, 93, 0.016129, 0.016129, 0, 0.0186242, 0.0172605, 0.0910658
zevenfreqs:, 94, 0, 0, 0, 0, 0, 0.0892427
