freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6
freqs:, 49, 0.575269, 0.424731, 0, 0.596653, 0.387824, 0.452992, 0.466623, 0.468645, 0.477478, 0.545499
freqs:, 50, 0.569892, 0.430108, 0, 0.594031, 0.386045, 0.451578, 0.465521, 0.46706, 0.475966, 0.545104
freqs:, 51, 0.564516, 0.435484, 0, 0.591593, 0.384374, 0.450267, 0.464499, 0.465562, 0.474541, 0.544557
freqs:, 52, 0.55914, 0.44086, 0, 0.589341, 0.382818, 0.449062, 0.463557, 0.464156, 0.473211, 0.543925
freqs:, 53, 0.553763, 0.446237, 0, 0.587278, 0.381382, 0.447963, 0.462695, 0.46285, 0.471981, 0.543259
freqs:, 54, 0.548387, 0.451613, 0, 0.585405, 0.38007, 0.446969, 0.461649, 0.461913, 0.470856, 0.542591
freqs:, 55, 0.543011, 0.456989, 0, 0.583723, 0.378886, 0.446081, 0.46056, 0.461213, 0.46984, 0.541949
freqs:, 56, 0.537634, 0.462366, 0, 0.582236, 0.377834, 0.445299, 0.459587, 0.460594, 0.468936, 0.541351
freqs:, 57, 0.532258, 0.467742, 0, 0.580944, 0.376916, 0.444622, 0.458735, 0.460057, 0.468147, 0.54081
freqs:, 58, 0.526882, 0.473118, 0, 0.579848, 0.376135, 0.444049, 0.458007, 0.459602, 0.467475, 0.540338
freqs:, 59, 0.521505, 0.478495, 0, 0.57895, 0.375493, 0.443582, 0.457406, 0.45923, 0.466923, 0.539942
freqs:, 60, 0.516129, 0.483871, 0, 0.578251, 0.374992, 0.443219, 0.456936, 0.45894, 0.466492, 0.539629
freqs:, 61, 0.510753, 0.489247, 0, 0.577751, 0.374634, 0.44296, 0.456599, 0.458733, 0.466184, 0.539402
freqs:, 62, 0.505376, 0.494624, 0, 0.57745, 0.374418, 0.442805, 0.456396, 0.458608, 0.465998, 0.539265
freqs:, 63, 0.5, 0.5, 0, 0.57735, 0.374346, 0.442753, 0.456328, 0.458567, 0.465936, 0.539219
freqs:, 64, 0.483871, 0.483871, 0, 0.558726, 0.372782, 0.437893, 0.45519, 0.460063, 0.470687, 0.530173
freqs:, 65, 0.467742, 0.467742, 0, 0.540102, 0.368385, 0.428198, 0.451909, 0.464247, 0.480053, 0.517575
freqs:, 66, 0.451613, 0.451613, 0, 0.521478, 0.361814, 0.417186, 0.446811, 0.47043, 0.490513, 0.504164
freqs:, 67, 0.435484, 0.435484, 0, 0.502853, 0.353727, 0.405665, 0.440261, 0.477853, 0.490075, 0.501234
freqs:, 68, 0.419355, 0.419355, 0, 0.484229, 0.344611, 0.393858, 0.432569, 0.475344, 0.484697, 0.487109
freqs:, 69, 0.403226, 0.403226, 0, 0.465605, 0.33479, 0.381847, 0.42395, 0.460016, 0.46867, 0.468727
freqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.32447, 0.369664, 0.414529, 0.444154, 0.450247, 0.450332
freqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.313784, 0.357321, 0.404354, 0.427841, 0.431846, 0.431906
freqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.302818, 0.34482, 0.393405, 0.411166, 0.413473, 0.413488
freqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.291626, 0.332156, 0.381603, 0.394215, 0.395087, 0.395133
freqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.280246, 0.319318, 0.368835, 0.37671, 0.376837, 0.377063
freqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.2687, 0.306293, 0.355028, 0.358363, 0.358594, 0.359772
freqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.257003, 0.293062, 0.340054, 0.340232, 0.34042, 0.342395
freqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.245162, 0.279599, 0.32179, 0.322335, 0.324638, 0.324973
freqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.233177, 0.265879, 0.303586, 0.304366, 0.307542, 0.308494
freqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.221045, 0.251865, 0.285455, 0.286551, 0.290134, 0.292021
freqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.208755, 0.23752, 0.267422, 0.26894, 0.272783, 0.275385
freqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.19629, 0.222798, 0.249515, 0.251597, 0.25552, 0.258709
freqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.183627, 0.207653, 0.231781, 0.234601, 0.238382, 0.242089
freqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.170729, 0.192049, 0.214281, 0.218037, 0.221414, 0.225608
freqs:, 84, 0.16129, 0.16129, 0, 0.186242, 0.157545, 0.175969, 0.197108, 0.201987, 0.204669, 0.209349
freqs:, 85, 0.145161, 0.145161, 0, 0.167618, 0.144005, 0.159435, 0.180391, 0.186523, 0.188217, 0.193406
freqs:, 86, 0.129032, 0.129032, 0, 0.148994, 0.130015, 0.142498, 0.164308, 0.171709, 0.172152, 0.17789
freqs:, 87, 0.112903, 0.112903, 0, 0.130369, 0.115481, 0.12523, 0.149076, 0.1566, 0.157629, 0.162944
freqs:, 88, 0.0967742, 0.0967742, 0, 0.111745, 0.100334, 0.107705, 0.134934, 0.141737, 0.14441, 0.148758
freqs:, 89, 0.0806452, 0.0806452, 0, 0.093121, 0.0845729, 0.0899881, 0.122119, 0.127809, 0.132243, 0.135584
freqs:, 90, 0.0645161, 0.0645161, 0, 0.0744968, 0.0682695, 0.0721307, 0.110873, 0.115161, 0.121405, 0.123754
freqs:, 91, 0.0483871, 0.0483871, 0, 0.0558726, 0.0515417, 0.0541743, 0.10149, 0.104264, 0.112262, 0.113698
freqs:, 92, 0.0322581, 0.0322581, 0, 0.0372484, 0.0345147, 0.0361505, 0.094334, 0.0957218, 0.105246, 0.105928
freqs:, 93, 0.016129, 0.016129, 0, 0.0186242, 0.0173016, 0.0180852, 0.0898114, 0.0902081, 0.100801, 0.100977
freqs:, 94, 0, 0, 0, 0, 0, 0, 0.0882593, 0.0882935, 0.0992723, 0.0992752
