freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6
freqs:, 49, 0.575269, 0.424731, 0, 0.596653, 0.375071, 0.41857, 0.443085, 0.451218, 0.52758, 0.562912
freqs:, 50, 0.569892, 0.430108, 0, 0.594031, 0.373478, 0.41749, 0.441937, 0.44986, 0.532535, 0.566148
freqs:, 51, 0.564516, 0.435484, 0, 0.591593, 0.371989, 0.416485, 0.440868, 0.448592, 0.537425, 0.55395
freqs:, 52, 0.55914, 0.44086, 0, 0.589341, 0.370607, 0.415559, 0.43988, 0.447416, 0.542231, 0.552495
freqs:, 53, 0.553763, 0.446237, 0, 0.587278, 0.369335, 0.41471, 0.438973, 0.446334, 0.546925, 0.551155
freqs:, 54, 0.548387, 0.451613, 0, 0.585405, 0.368177, 0.41394, 0.438148, 0.445349, 0.549934, 0.551471
freqs:, 55, 0.543011, 0.456989, 0, 0.583723, 0.367134, 0.41325, 0.437408, 0.444463, 0.548833, 0.555813
freqs:, 56, 0.537634, 0.462366, 0, 0.582236, 0.366209, 0.41264, 0.436752, 0.443677, 0.547856, 0.559865
freqs:, 57, 0.532258, 0.467742, 0, 0.580944, 0.365403, 0.41211, 0.436182, 0.442994, 0.547004, 0.563494
freqs:, 58, 0.526882, 0.473118, 0, 0.579848, 0.364719, 0.411661, 0.435698, 0.442413, 0.54628, 0.566509
freqs:, 59, 0.521505, 0.478495, 0, 0.57895, 0.364157, 0.411293, 0.435302, 0.441936, 0.545686, 0.568718
freqs:, 60, 0.516129, 0.483871, 0, 0.578251, 0.363719, 0.411007, 0.434992, 0.441564, 0.545222, 0.570082
freqs:, 61, 0.510753, 0.489247, 0, 0.577751, 0.363405, 0.410802, 0.434771, 0.441299, 0.54489, 0.570796
freqs:, 62, 0.505376, 0.494624, 0, 0.57745, 0.363217, 0.410679, 0.434639, 0.441139, 0.544691, 0.571113
freqs:, 63, 0.5, 0.5, 0, 0.57735, 0.363154, 0.410638, 0.434594, 0.441086, 0.544624, 0.571201
freqs:, 64, 0.483871, 0.483871, 0, 0.558726, 0.361122, 0.412617, 0.427963, 0.447578, 0.540549, 0.556712
freqs:, 65, 0.467742, 0.467742, 0, 0.540102, 0.355793, 0.417786, 0.418757, 0.456367, 0.531025, 0.53997
freqs:, 66, 0.451613, 0.451613, 0, 0.521478, 0.348481, 0.409203, 0.424826, 0.465217, 0.518674, 0.522812
freqs:, 67, 0.435484, 0.435484, 0, 0.502853, 0.340071, 0.399414, 0.432843, 0.474008, 0.504361, 0.505389
freqs:, 68, 0.419355, 0.419355, 0, 0.484229, 0.331022, 0.389395, 0.441357, 0.48271, 0.487785, 0.488605
freqs:, 69, 0.403226, 0.403226, 0, 0.465605, 0.321568, 0.379133, 0.450066, 0.46875, 0.47006, 0.471924
freqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.311832, 0.368605, 0.450078, 0.450328, 0.452252, 0.454716
freqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.301879, 0.357787, 0.431716, 0.431934, 0.434391, 0.437219
freqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.291748, 0.346651, 0.413287, 0.413573, 0.4165, 0.41957
freqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.281458, 0.335167, 0.39487, 0.395253, 0.398597, 0.401846
freqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.27102, 0.323307, 0.376475, 0.376985, 0.380698, 0.384094
freqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.260435, 0.311039, 0.358109, 0.358783, 0.362816, 0.366347
freqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.2497, 0.298337, 0.339779, 0.340667, 0.344965, 0.348631
freqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.238808, 0.285173, 0.321495, 0.322661, 0.327159, 0.330967
freqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.227748, 0.271523, 0.303266, 0.304798, 0.309412, 0.313376
freqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.216504, 0.257364, 0.28511, 0.287124, 0.291742, 0.29588
freqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.205056, 0.24268, 0.267049, 0.269691, 0.274168, 0.278504
freqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.193378, 0.227456, 0.249112, 0.252562, 0.256715, 0.261277
freqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.181436, 0.211696, 0.231345, 0.235798, 0.239413, 0.244235
freqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.169184, 0.195426, 0.213813, 0.219453, 0.222299, 0.227423
freqs:, 84, 0.16129, 0.16129, 0, 0.186242, 0.156563, 0.178698, 0.196611, 0.203569, 0.205425, 0.210899
freqs:, 85, 0.145161, 0.145161, 0, 0.167618, 0.14349, 0.161585, 0.179877, 0.188185, 0.188858, 0.19474
freqs:, 86, 0.129032, 0.129032, 0, 0.148994, 0.129862, 0.144165, 0.163798, 0.172686, 0.17336, 0.179044
freqs:, 87, 0.112903, 0.112903, 0, 0.130369, 0.115574, 0.126511, 0.148604, 0.157036, 0.159187, 0.163949
freqs:, 88, 0.0967742, 0.0967742, 0, 0.111745, 0.100561, 0.108681, 0.134535, 0.142082, 0.145815, 0.149637
freqs:, 89, 0.0806452, 0.0806452, 0, 0.093121, 0.0848412, 0.0907228, 0.121817, 0.12807, 0.13346, 0.136357
freqs:, 90, 0.0645161, 0.0645161, 0, 0.0744968, 0.0685195, 0.0726718, 0.11067, 0.115343, 0.122423, 0.12444
freqs:, 91, 0.0483871, 0.0483871, 0, 0.0558726, 0.0517419, 0.0545548, 0.101368, 0.104376, 0.113088, 0.114315
freqs:, 92, 0.0322581, 0.0322581, 0, 0.0372484, 0.0346517, 0.036393, 0.0942701, 0.0957763, 0.105913, 0.106494
freqs:, 93, 0.016129, 0.016129, 0, 0.0186242, 0.0173707, 0.0182032, 0.0897806, 0.0902234, 0.101362, 0.101513
freqs:, 94, 0, 0, 0, 0, 0, 0, 0.0882392, 0.0882948, 0.0997968, 0.0997977
