zevenfreqs:, k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2
zevenfreqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.341147, 0.438334
zevenfreqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.33024, 0.423302
zevenfreqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.318892, 0.407688
zevenfreqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.307189, 0.391586
zevenfreqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.295194, 0.375096
zevenfreqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.282952, 0.358319
zevenfreqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.270491, 0.34134
zevenfreqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.257833, 0.324231
zevenfreqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.244988, 0.307051
zevenfreqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.23196, 0.289851
zevenfreqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.218746, 0.272675
zevenfreqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.205334, 0.255566
zevenfreqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.191703, 0.238568
zevenfreqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.177819, 0.221731
zevenfreqs:, 84, 0.16129, 0.16129, 0, 0.186242, 0.163633, 0.198025
zevenfreqs:, 85, 0.145161, 0.145161, 0, 0.167618, 0.149084, 0.181538
zevenfreqs:, 86, 0.129032, 0.129032, 0, 0.148994, 0.134103, 0.165712
zevenfreqs:, 87, 0.112903, 0.112903, 0, 0.130369, 0.118636, 0.150729
zevenfreqs:, 88, 0.0967742, 0.0967742, 0, 0.111745, 0.102667, 0.136782
zevenfreqs:, 89, 0.0806452, 0.0806452, 0, 0.093121, 0.0862329, 0.124075
zevenfreqs:, 90, 0.0645161, 0.0645161, 0, 0.0744968, 0.0694113, 0.112851
zevenfreqs:, 91, 0.0483871, 0.0483871, 0, 0.0558726, 0.0522939, 0.103427
zevenfreqs:, 92, 0.0322581, 0.0322581, 0, 0.0372484, 0.0349694, 0.0962087
zevenfreqs:, 93, 0.016129, 0.016129, 0, 0.0186242, 0.0175156, 0.0916337
zevenfreqs:, 94, 0, 0, 0, 0, 0, 0.0900617
