freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8
freqs:, 42, 0.5, 0.47619, 0, 0.690476, 0.46313, 0.486103, 0.491987, 0.511292, 0.514302, 0.551015, 0.551594, 0.631545
freqs:, 43, 0.5, 0.5, 0, 0.707107, 0.464696, 0.488183, 0.4928, 0.512085, 0.512088, 0.550089, 0.550093, 0.633421
freqs:, 44, 0.47619, 0.47619, 0, 0.673435, 0.461445, 0.484068, 0.491528, 0.512379, 0.514593, 0.549961, 0.554831, 0.629399
freqs:, 45, 0.452381, 0.452381, 0, 0.639763, 0.451736, 0.474391, 0.490277, 0.513225, 0.519638, 0.549391, 0.566415, 0.617101
freqs:, 46, 0.428571, 0.428571, 0, 0.606092, 0.437213, 0.461742, 0.491016, 0.514508, 0.525112, 0.547678, 0.581077, 0.598342
freqs:, 47, 0.404762, 0.404762, 0, 0.57242, 0.420009, 0.447063, 0.493437, 0.515904, 0.530631, 0.54284, 0.574194, 0.574861
freqs:, 48, 0.380952, 0.380952, 0, 0.538748, 0.401328, 0.43076, 0.497057, 0.516217, 0.530062, 0.536121, 0.541428, 0.545847
freqs:, 49, 0.357143, 0.357143, 0, 0.505076, 0.38173, 0.413048, 0.501305, 0.505852, 0.507189, 0.507918, 0.508145, 0.520499
freqs:, 50, 0.333333, 0.333333, 0, 0.471405, 0.361474, 0.394038, 0.474485, 0.474584, 0.475804, 0.478805, 0.497248, 0.499361
freqs:, 51, 0.309524, 0.309524, 0, 0.437733, 0.340682, 0.37377, 0.441133, 0.441316, 0.444126, 0.446999, 0.466805, 0.472504
freqs:, 52, 0.285714, 0.285714, 0, 0.404061, 0.319404, 0.352236, 0.407828, 0.408151, 0.411968, 0.414764, 0.435958, 0.444168
freqs:, 53, 0.261905, 0.261905, 0, 0.370389, 0.297645, 0.3294, 0.374605, 0.375145, 0.379683, 0.382488, 0.405543, 0.415589
freqs:, 54, 0.238095, 0.238095, 0, 0.336718, 0.275379, 0.305211, 0.341504, 0.342381, 0.347433, 0.350314, 0.375749, 0.38723
freqs:, 55, 0.214286, 0.214286, 0, 0.303046, 0.25255, 0.279616, 0.308587, 0.309999, 0.315326, 0.318347, 0.346772, 0.359391
freqs:, 56, 0.190476, 0.190476, 0, 0.269374, 0.229069, 0.252558, 0.275959, 0.278216, 0.283468, 0.286696, 0.318854, 0.332347
freqs:, 57, 0.166667, 0.166667, 0, 0.235702, 0.204798, 0.224006, 0.243808, 0.247325, 0.251992, 0.255504, 0.2923, 0.306398
freqs:, 58, 0.142857, 0.142857, 0, 0.202031, 0.179523, 0.194035, 0.212479, 0.217618, 0.221087, 0.224979, 0.267485, 0.281909
freqs:, 59, 0.119048, 0.119048, 0, 0.168359, 0.152922, 0.162908, 0.182571, 0.189339, 0.191048, 0.195447, 0.24486, 0.259338
freqs:, 60, 0.0952381, 0.0952381, 0, 0.134687, 0.124679, 0.130977, 0.154922, 0.162374, 0.162833, 0.167444, 0.224958, 0.23926
freqs:, 61, 0.0714286, 0.0714286, 0, 0.101015, 0.0948155, 0.0985487, 0.130441, 0.135942, 0.138839, 0.141887, 0.208392, 0.222375
freqs:, 62, 0.047619, 0.047619, 0, 0.0673435, 0.0637625, 0.0658291, 0.110279, 0.113343, 0.118768, 0.12035, 0.195841, 0.209473
freqs:, 63, 0.0238095, 0.0238095, 0, 0.0336718, 0.0320285, 0.0329498, 0.0963885, 0.0972936, 0.104886, 0.105333, 0.187968, 0.20133
freqs:, 64, 0, 0, 0, 0, 0, 0, 0.0913181, 0.0913185, 0.0998269, 0.0998269, 0.185279, 0.185279
