freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8, band 9, band 10
freqs:, 1, 0.435, 0, 0, 0.435, 0.384199, 0.403991, 0.407878, 0.433689, 0.435554, 0.435666, 0.439962, 0.440047, 0.440052, 0.440075
freqs:, 2, 0.436585, 0, 0, 0.436585, 0.385179, 0.404819, 0.409037, 0.434893, 0.437135, 0.437245, 0.441529, 0.441612, 0.441619, 0.441642
freqs:, 3, 0.438171, 0, 0, 0.438171, 0.386154, 0.40564, 0.410193, 0.436085, 0.438716, 0.438824, 0.443095, 0.443175, 0.443186, 0.443209
freqs:, 4, 0.439756, 0, 0, 0.439756, 0.387125, 0.406454, 0.411346, 0.437264, 0.440296, 0.440404, 0.444661, 0.444736, 0.444753, 0.444776
freqs:, 5, 0.441341, 0, 0, 0.441341, 0.388091, 0.407259, 0.412495, 0.438432, 0.441876, 0.441983, 0.446227, 0.446294, 0.446321, 0.446344
freqs:, 6, 0.442927, 0, 0, 0.442927, 0.389053, 0.408057, 0.41364, 0.439588, 0.443456, 0.443562, 0.447792, 0.447843, 0.447888, 0.447911
freqs:, 7, 0.444512, 0, 0, 0.444512, 0.39001, 0.408847, 0.414782, 0.440732, 0.445035, 0.445142, 0.449338, 0.449375, 0.449456, 0.449479
freqs:, 8, 0.446098, 0, 0, 0.446098, 0.390962, 0.409628, 0.415921, 0.441866, 0.446612, 0.446722, 0.450544, 0.450931, 0.451023, 0.451046
freqs:, 9, 0.447683, 0, 0, 0.447683, 0.391909, 0.4104, 0.417056, 0.442988, 0.448182, 0.448301, 0.450644, 0.452496, 0.452591, 0.452614
freqs:, 10, 0.449268, 0, 0, 0.449268, 0.392851, 0.411163, 0.418187, 0.444099, 0.449686, 0.449881, 0.450444, 0.454062, 0.454159, 0.454182
freqs:, 11, 0.450854, 0, 0, 0.450854, 0.393786, 0.411916, 0.419315, 0.445199, 0.449919, 0.451419, 0.451461, 0.455627, 0.455727, 0.455751
