freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8, band 9, band 10
freqs:, 1, 0.435, 0, 0, 0.435, 0.384097, 0.40382, 0.407888, 0.433681, 0.435555, 0.435666, 0.439964, 0.440047, 0.440052, 0.440075
freqs:, 2, 0.436585, 0, 0, 0.436585, 0.385075, 0.404649, 0.409047, 0.434886, 0.437135, 0.437245, 0.44153, 0.44161, 0.441619, 0.441642
freqs:, 3, 0.438171, 0, 0, 0.438171, 0.386049, 0.40547, 0.410203, 0.436078, 0.438716, 0.438824, 0.443096, 0.443173, 0.443186, 0.443209
freqs:, 4, 0.439756, 0, 0, 0.439756, 0.387018, 0.406285, 0.411356, 0.437258, 0.440296, 0.440404, 0.444662, 0.444733, 0.444753, 0.444776
freqs:, 5, 0.441341, 0, 0, 0.441341, 0.387983, 0.407091, 0.412505, 0.438426, 0.441876, 0.441983, 0.446229, 0.446288, 0.446321, 0.446343
freqs:, 6, 0.442927, 0, 0, 0.442927, 0.388943, 0.40789, 0.413651, 0.439583, 0.443456, 0.443563, 0.447795, 0.44783, 0.447888, 0.447911
freqs:, 7, 0.444512, 0, 0, 0.444512, 0.389897, 0.408682, 0.414793, 0.440728, 0.445035, 0.445142, 0.449307, 0.449362, 0.449455, 0.449479
freqs:, 8, 0.446098, 0, 0, 0.446098, 0.390847, 0.409464, 0.415931, 0.441862, 0.44661, 0.446722, 0.450195, 0.450928, 0.451023, 0.451046
freqs:, 9, 0.447683, 0, 0, 0.447683, 0.391792, 0.410239, 0.417066, 0.442986, 0.448174, 0.448302, 0.450119, 0.452495, 0.452591, 0.452614
freqs:, 10, 0.449268, 0, 0, 0.449268, 0.392731, 0.411005, 0.418198, 0.444098, 0.449523, 0.449881, 0.450045, 0.454061, 0.454159, 0.454182
freqs:, 11, 0.450854, 0, 0, 0.450854, 0.393664, 0.411761, 0.419326, 0.4452, 0.449359, 0.451407, 0.451461, 0.455627, 0.455727, 0.455751
freqs:, 12, 0.452439, 0, 0, 0.452439, 0.394591, 0.412508, 0.42045, 0.446292, 0.448942, 0.452971, 0.453041, 0.457192, 0.457295, 0.457319
freqs:, 13, 0.454024, 0, 0, 0.454024, 0.395512, 0.413245, 0.42157, 0.447373, 0.448475, 0.454547, 0.454621, 0.458757, 0.458863, 0.458887
freqs:, 14, 0.45561, 0, 0, 0.45561, 0.396427, 0.413972, 0.422687, 0.447975, 0.448443, 0.456126, 0.456202, 0.46032, 0.460431, 0.460456
freqs:, 15, 0.457195, 0, 0, 0.457195, 0.397334, 0.414688, 0.4238, 0.447449, 0.449503, 0.457706, 0.457782, 0.461879, 0.462, 0.462024
freqs:, 16, 0.45878, 0, 0, 0.45878, 0.398234, 0.415392, 0.424909, 0.4469, 0.450553, 0.459286, 0.459362, 0.46343, 0.463568, 0.463593
freqs:, 17, 0.460366, 0, 0, 0.460366, 0.399126, 0.416084, 0.426014, 0.446333, 0.451591, 0.460867, 0.460943, 0.464946, 0.465137, 0.465162
freqs:, 18, 0.461951, 0, 0, 0.461951, 0.40001, 0.416764, 0.427115, 0.445751, 0.452619, 0.462448, 0.462523, 0.466063, 0.466706, 0.466731
freqs:, 19, 0.463537, 0, 0, 0.463537, 0.400885, 0.417429, 0.428212, 0.445157, 0.453636, 0.46403, 0.464104, 0.465898, 0.468275, 0.4683
freqs:, 20, 0.465122, 0, 0, 0.465122, 0.40175, 0.418081, 0.429305, 0.444553, 0.454642, 0.465457, 0.465614, 0.465684, 0.469844, 0.469868
freqs:, 21, 0.466707, 0, 0, 0.466707, 0.402605, 0.418718, 0.430393, 0.443941, 0.455636, 0.464988, 0.467193, 0.467265, 0.471413, 0.471437
freqs:, 22, 0.468293, 0, 0, 0.468293, 0.403448, 0.419338, 0.431476, 0.443323, 0.456618, 0.464512, 0.468774, 0.468846, 0.472982, 0.472998
freqs:, 23, 0.469878, 0, 0, 0.469878, 0.40428, 0.419942, 0.432555, 0.442702, 0.457587, 0.464038, 0.470356, 0.470426, 0.472727, 0.474551
