freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8, band 9, band 10
freqs:, 1, 0.435, 0, 0, 0.435, 0.386313, 0.405585, 0.40909, 0.434354, 0.435565, 0.435678, 0.439968, 0.440051, 0.440055, 0.440075
freqs:, 2, 0.436585, 0, 0, 0.436585, 0.387301, 0.406423, 0.410262, 0.435584, 0.437146, 0.437257, 0.441534, 0.441616, 0.441622, 0.441642
freqs:, 3, 0.438171, 0, 0, 0.438171, 0.388284, 0.407254, 0.41143, 0.436801, 0.438727, 0.438836, 0.443101, 0.443181, 0.443189, 0.443209
freqs:, 4, 0.439756, 0, 0, 0.439756, 0.389263, 0.408077, 0.412595, 0.438005, 0.440308, 0.440415, 0.444667, 0.444744, 0.444756, 0.444777
freqs:, 5, 0.441341, 0, 0, 0.441341, 0.390236, 0.408892, 0.413756, 0.439196, 0.441889, 0.441994, 0.446234, 0.446307, 0.446323, 0.446344
freqs:, 6, 0.442927, 0, 0, 0.442927, 0.391205, 0.409699, 0.414914, 0.440376, 0.443469, 0.443573, 0.447801, 0.447865, 0.447891, 0.447911
freqs:, 7, 0.444512, 0, 0, 0.444512, 0.392169, 0.410498, 0.416068, 0.441544, 0.44505, 0.445153, 0.449367, 0.449416, 0.449458, 0.449479
freqs:, 8, 0.446098, 0, 0, 0.446098, 0.393127, 0.411289, 0.417219, 0.4427, 0.44663, 0.446732, 0.450934, 0.45094, 0.451026, 0.451047
freqs:, 9, 0.447683, 0, 0, 0.447683, 0.39408, 0.412071, 0.418365, 0.443844, 0.448209, 0.448312, 0.452236, 0.4525, 0.452594, 0.452615
freqs:, 10, 0.449268, 0, 0, 0.449268, 0.395027, 0.412844, 0.419509, 0.444977, 0.449783, 0.449892, 0.452414, 0.454067, 0.454162, 0.454183
freqs:, 11, 0.450854, 0, 0, 0.450854, 0.395968, 0.413607, 0.420648, 0.446099, 0.451327, 0.451471, 0.452167, 0.455634, 0.45573, 0.455751
freqs:, 12, 0.452439, 0, 0, 0.452439, 0.396902, 0.414361, 0.421784, 0.44721, 0.451696, 0.452996, 0.453051, 0.4572, 0.457298, 0.457319
freqs:, 13, 0.454024, 0, 0, 0.454024, 0.39783, 0.415105, 0.422917, 0.44831, 0.451282, 0.454557, 0.454631, 0.458766, 0.458866, 0.458887
freqs:, 14, 0.45561, 0, 0, 0.45561, 0.398751, 0.415837, 0.424045, 0.449399, 0.450813, 0.456134, 0.456211, 0.460331, 0.460434, 0.460456
freqs:, 15, 0.457195, 0, 0, 0.457195, 0.399665, 0.416559, 0.425169, 0.450311, 0.450477, 0.457713, 0.457791, 0.461895, 0.462003, 0.462025
freqs:, 16, 0.45878, 0, 0, 0.45878, 0.400571, 0.417269, 0.42629, 0.449783, 0.451544, 0.459294, 0.459372, 0.463456, 0.463571, 0.463593
freqs:, 17, 0.460366, 0, 0, 0.460366, 0.401469, 0.417967, 0.427406, 0.449234, 0.4526, 0.460874, 0.460952, 0.465011, 0.46514, 0.465162
freqs:, 18, 0.461951, 0, 0, 0.461951, 0.402358, 0.418651, 0.428519, 0.448668, 0.453645, 0.462456, 0.462532, 0.466545, 0.466709, 0.466731
freqs:, 19, 0.463537, 0, 0, 0.463537, 0.403237, 0.419322, 0.429627, 0.448087, 0.454678, 0.464037, 0.464113, 0.467894, 0.468278, 0.4683
freqs:, 20, 0.465122, 0, 0, 0.465122, 0.404106, 0.419978, 0.43073, 0.447495, 0.4557, 0.465618, 0.465693, 0.46804, 0.469847, 0.469869
freqs:, 21, 0.466707, 0, 0, 0.466707, 0.404965, 0.42062, 0.43183, 0.446894, 0.456709, 0.4672, 0.467274, 0.467643, 0.471416, 0.471438
freqs:, 22, 0.468293, 0, 0, 0.468293, 0.405811, 0.421244, 0.432924, 0.446286, 0.457706, 0.46719, 0.468782, 0.468854, 0.472985, 0.473006
freqs:, 23, 0.469878, 0, 0, 0.469878, 0.406645, 0.421852, 0.434013, 0.445674, 0.458689, 0.466728, 0.470363, 0.470435, 0.474524, 0.474554
freqs:, 24, 0.471463, 0, 0, 0.471463, 0.407464, 0.422441, 0.435097, 0.44506, 0.459659, 0.466269, 0.471945, 0.472015, 0.473698, 0.476124
freqs:, 25, 0.473049, 0, 0, 0.473049, 0.408268, 0.423011, 0.436175, 0.444446, 0.460614, 0.465816, 0.472735, 0.473527, 0.473598, 0.477693
freqs:, 26, 0.474634, 0, 0, 0.474634, 0.409055, 0.42356, 0.437248, 0.443836, 0.461552, 0.465374, 0.471773, 0.475109, 0.475178, 0.479263
freqs:, 27, 0.47622, 0, 0, 0.47622, 0.409823, 0.424087, 0.438313, 0.44323, 0.462474, 0.464946, 0.470809, 0.476691, 0.476759, 0.480833
freqs:, 28, 0.477805, 0, 0, 0.477805, 0.41057, 0.42459, 0.439371, 0.442633, 0.463376, 0.464533, 0.469845, 0.478273, 0.47834, 0.482402
freqs:, 29, 0.47939, 0, 0, 0.47939, 0.411294, 0.425069, 0.440421, 0.442046, 0.464136, 0.464257, 0.468883, 0.479855, 0.479921, 0.483972
freqs:, 30, 0.480976, 0, 0, 0.480976, 0.411992, 0.425521, 0.441461, 0.441474, 0.46376, 0.465114, 0.467923, 0.481437, 0.481502, 0.485542
freqs:, 31, 0.482561, 0, 0, 0.482561, 0.412661, 0.425946, 0.44092, 0.44249, 0.463404, 0.465944, 0.466968, 0.483018, 0.483083, 0.487112
freqs:, 32, 0.484146, 0, 0, 0.484146, 0.413296, 0.426341, 0.440387, 0.443506, 0.463071, 0.466019, 0.466743, 0.4846, 0.484664, 0.488682
freqs:, 33, 0.485732, 0, 0, 0.485732, 0.413895, 0.426704, 0.439881, 0.444506, 0.462763, 0.465079, 0.467507, 0.486182, 0.486245, 0.490252
