freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5
freqs:, 54, 0.548387, 0.451613, 0, 0.585405, 0.404658, 0.471484, 0.496018, 0.507662, 0.587767
freqs:, 55, 0.543011, 0.456989, 0, 0.583723, 0.403527, 0.470775, 0.495048, 0.506565, 0.5861
freqs:, 56, 0.537634, 0.462366, 0, 0.582236, 0.402522, 0.470147, 0.494188, 0.505592, 0.584622
freqs:, 57, 0.532258, 0.467742, 0, 0.580944, 0.401646, 0.469602, 0.493439, 0.504745, 0.583337
freqs:, 58, 0.526882, 0.473118, 0, 0.579848, 0.400901, 0.46914, 0.492803, 0.504025, 0.582245
freqs:, 59, 0.521505, 0.478495, 0, 0.57895, 0.400289, 0.468761, 0.492281, 0.503433, 0.581352
freqs:, 60, 0.516129, 0.483871, 0, 0.578251, 0.399812, 0.468467, 0.491874, 0.502972, 0.580656
freqs:, 61, 0.510753, 0.489247, 0, 0.577751, 0.39947, 0.468256, 0.491583, 0.502642, 0.580158
freqs:, 62, 0.505376, 0.494624, 0, 0.57745, 0.399265, 0.468129, 0.491408, 0.502444, 0.579859
freqs:, 63, 0.5, 0.5, 0, 0.57735, 0.399196, 0.468087, 0.49135, 0.502378, 0.57976
freqs:, 64, 0.483871, 0.483871, 0, 0.558726, 0.397459, 0.469699, 0.483793, 0.509651, 0.561287
freqs:, 65, 0.467742, 0.467742, 0, 0.540102, 0.392663, 0.47226, 0.474109, 0.520333, 0.542776
freqs:, 66, 0.451613, 0.451613, 0, 0.521478, 0.385663, 0.460043, 0.480415, 0.524286, 0.52449
freqs:, 67, 0.435484, 0.435484, 0, 0.502853, 0.377214, 0.447413, 0.487685, 0.505878, 0.506051
freqs:, 68, 0.419355, 0.419355, 0, 0.484229, 0.367812, 0.434424, 0.486876, 0.487629, 0.491852
freqs:, 69, 0.403226, 0.403226, 0, 0.465605, 0.357757, 0.42109, 0.468659, 0.469235, 0.473662
freqs:, 70, 0.387097, 0.387097, 0, 0.446981, 0.347225, 0.407415, 0.450232, 0.450874, 0.455488
freqs:, 71, 0.370968, 0.370968, 0, 0.428357, 0.33632, 0.393402, 0.431802, 0.432555, 0.437336
freqs:, 72, 0.354839, 0.354839, 0, 0.409732, 0.325106, 0.379049, 0.413387, 0.414285, 0.419212
freqs:, 73, 0.33871, 0.33871, 0, 0.391108, 0.313619, 0.364359, 0.394995, 0.396078, 0.401122
freqs:, 74, 0.322581, 0.322581, 0, 0.372484, 0.30188, 0.349334, 0.376633, 0.377949, 0.383073
freqs:, 75, 0.306452, 0.306452, 0, 0.35386, 0.2899, 0.333975, 0.358308, 0.359917, 0.365072
freqs:, 76, 0.290323, 0.290323, 0, 0.335236, 0.277681, 0.318285, 0.340032, 0.342004, 0.347128
freqs:, 77, 0.274194, 0.274194, 0, 0.316611, 0.265218, 0.302268, 0.321815, 0.324236, 0.329251
freqs:, 78, 0.258065, 0.258065, 0, 0.297987, 0.252502, 0.285928, 0.303676, 0.306644, 0.311454
freqs:, 79, 0.241935, 0.241935, 0, 0.279363, 0.239518, 0.269277, 0.285638, 0.289254, 0.293753
freqs:, 80, 0.225806, 0.225806, 0, 0.260739, 0.226246, 0.252331, 0.267734, 0.272094, 0.276165
freqs:, 81, 0.209677, 0.209677, 0, 0.242115, 0.212659, 0.235115, 0.250009, 0.255187, 0.258715
freqs:, 82, 0.193548, 0.193548, 0, 0.22349, 0.19872, 0.217662, 0.232526, 0.238554, 0.241435
freqs:, 83, 0.177419, 0.177419, 0, 0.204866, 0.184386, 0.200008, 0.215371, 0.222224, 0.224363
freqs:, 84, 0.16129, 0.16129, 0, 0.186242, 0.169604, 0.182189, 0.198653, 0.206234, 0.207551
freqs:, 85, 0.145161, 0.145161, 0, 0.167618, 0.154324, 0.164239, 0.182499, 0.190643, 0.191069
freqs:, 86, 0.129032, 0.129032, 0, 0.148994, 0.138522, 0.146184, 0.167044, 0.175007, 0.175542
freqs:, 87, 0.112903, 0.112903, 0, 0.130369, 0.122214, 0.128049, 0.152414, 0.159499, 0.161047
freqs:, 88, 0.0967742, 0.0967742, 0, 0.111745, 0.105458, 0.109851, 0.138746, 0.14472, 0.147335
freqs:, 89, 0.0806452, 0.0806452, 0, 0.093121, 0.0883408, 0.0916045, 0.12621, 0.130917, 0.134642
freqs:, 90, 0.0645161, 0.0645161, 0, 0.0744968, 0.0709495, 0.0733222, 0.115053, 0.118433, 0.123285
freqs:, 91, 0.0483871, 0.0483871, 0, 0.0558726, 0.053362, 0.0550132, 0.105624, 0.107727, 0.113665
freqs:, 92, 0.0322581, 0.0322581, 0, 0.0372484, 0.0356419, 0.0366854, 0.0983647, 0.0993765, 0.106259
freqs:, 93, 0.016129, 0.016129, 0, 0.0186242, 0.0178403, 0.0183456, 0.0937487, 0.0940106, 0.101555
freqs:, 94, 0, 0, 0, 0, 0, 0, 0.0921525, 0.0921599, 0.0999374
